old_identifier	proposed_identifier	occurrences	files	category	action	clusters
CompatibleSuccDegreePrecStatement	CompatibleSuccDegreeStrictInterlStatement	9	3	statement_scaffold	manual_semantic_rename	CommonInterleaver,CommonInterleaverExamples.lean
compositionRows_mk_pf_and_prec0_of_zero	compositionRows_mk_pf_and_interl_of_zero	4	2	lean_declaration	manual_semantic_rename	BrandenLeite
compositionRows_positivePartSeries_pf_and_prec0	compositionRows_positivePartSeries_pf_and_interl	2	1	lean_declaration	manual_semantic_rename	BrandenLeite
consecutive_signedTriangleFamily_prec	consecutive_signedTriangleFamily_strictInterl	2	1	lean_declaration	manual_semantic_rename	ParkingFunctions
consecutive_signedTriangleFamily_strictPrec	consecutive_signedTriangleFamily_strictInterlSameDegree	2	1	lean_declaration	manual_semantic_rename	ParkingFunctions
cross_prec	cross_strictInterl	3	2	tactic_reference	migrate_with_tactic_owner	Tactic
cutPrefix_prec0_cutStrictSuffix	cutPrefix_interl_cutStrictSuffix	2	1	lean_declaration	manual_semantic_rename	Compatibility
cutPrefix_prec0_reverse	cutPrefix_interl_reverse	2	1	lean_declaration	manual_semantic_rename	Compatibility
cutStrictSuffix_prec0_forward	cutStrictSuffix_interl_forward	2	1	lean_declaration	manual_semantic_rename	Compatibility
darbouxOperator_shift_prec	darbouxOperator_shift_strictInterl	1	1	lean_declaration	manual_semantic_rename	EulerOperator
decoEulerian_prec	decoEulerian_strictInterl	2	1	lean_declaration	manual_semantic_rename	Applications
decoEulerian_prec_and_noCommonRoot	decoEulerian_strictInterl_and_noCommonRoot	1	1	lean_declaration	manual_semantic_rename	Applications
decoLayerTotalTwoPrecursor	decoLayerTotalTwoPrecursor	5	1	lexical_false_positive	keep_unchanged	Applications
decoLayerTotalTwoPrecursor_mvRealStable	decoLayerTotalTwoPrecursor_mvRealStable	2	1	lexical_false_positive	keep_unchanged	Applications
decoratedCycleEulerian_prec	decoratedCycleEulerian_strictInterl	4	1	lean_declaration	manual_semantic_rename	Applications
DegreeDropDivXPrec	DegreeDropDivXStrictInterl	6	6	reference_or_local	migrate_with_declaration_owner	ClassicalHurwitzMatrix,CommonInterleaver,Production.lean,Transforms,root
Deprecated	Deprecated	21	8	lexical_false_positive	keep_unchanged	Basic,GarloffWagner,Interlacing,InterlacingSequence,JensenPencilContraction.lean,Linear.lean,PosCombo.lean,ThresholdMatrix
deprecated	deprecated	52	13	lexical_false_positive	keep_unchanged	Basic,Bezoutian,CommonInterleaver,GarloffWagner,Interlacing,InterlacingSequence,JensenPencilContraction.lean,Linear.lean,OrderedRoots.lean,PosCombo.lean,SimpleRoots.lean,ThresholdMatrix,Wronskian
derivative_common_factor_quotient_prec	derivative_common_factor_quotient_strictInterl	2	1	lean_declaration	manual_semantic_rename	IteratedDerivativeShift.lean
derivative_prec	derivative_strictInterl	4	1	tactic_declaration	manual_alias_then_migrate	Tactic
derivative_prec0_of_prec	derivative_interl_of_strictInterl	3	1	lean_declaration	manual_semantic_rename	ObreschkoffConverse
derivative_prec0_of_prec0	derivative_interl_of_interl	3	1	lean_declaration	manual_semantic_rename	ObreschkoffConverse
derivative_prec0_of_prec_sameDegree	derivative_interl_of_strictInterl_sameDegree	3	1	lean_declaration	manual_semantic_rename	ObreschkoffConverse
derivative_prec0_of_prec_succDegree	derivative_interl_of_strictInterl_succDegree	4	1	lean_declaration	manual_semantic_rename	ObreschkoffConverse
derivative_prec0_or_revPrec0_of_prec_sameDegree	derivative_interl_or_reverse_of_strictInterl_sameDegree	2	1	lean_declaration	manual_semantic_rename	ObreschkoffConverse
derivative_prec0_self	derivative_interl_self	7	2	reference_or_local	migrate_with_declaration_owner	GarloffWagner,Transforms
derivative_prec_of_prec_sameDegree	derivative_strictInterl_of_strictInterl_sameDegree	4	1	lean_declaration	manual_semantic_rename	ObreschkoffConverse
derivative_prec_of_prec_succDegree	derivative_strictInterl_of_strictInterl_succDegree	1	1	lean_declaration	manual_semantic_rename	ObreschkoffConverse
derivative_prec_TDeriv_of_natDegree_one	derivative_strictInterl_TDeriv_of_natDegree_one	5	2	lean_declaration	manual_semantic_rename	GarloffWagner,IteratedDerivativeShift.lean
derivative_prec_TDeriv_of_nonpos_of_common_factor	derivative_strictInterl_TDeriv_of_nonpos_of_common_factor	3	2	lean_declaration	manual_semantic_rename	GarloffWagner,IteratedDerivativeShift.lean
derivative_prec_TDeriv_of_nonpos_of_common_factor_no_common	derivative_strictInterl_TDeriv_of_nonpos_of_common_factor_no_common	3	2	lean_declaration	manual_semantic_rename	GarloffWagner,IteratedDerivativeShift.lean
derivative_prec_TDeriv_of_nonpos_of_coprime	derivative_strictInterl_TDeriv_of_nonpos_of_coprime	3	2	lean_declaration	manual_semantic_rename	GarloffWagner,IteratedDerivativeShift.lean
derivative_prec_TDeriv_of_nonpos_of_hasSimpleRootsExcept_zero	derivative_strictInterl_TDeriv_of_nonpos_of_hasSimpleRootsExcept_zero	2	2	lean_declaration	manual_semantic_rename	GarloffWagner,IteratedDerivativeShift.lean
derivative_prec_TDeriv_of_nonpos_of_pow_X_sub_C_factor_hasSimpleRoots	derivative_strictInterl_TDeriv_of_nonpos_of_pow_X_sub_C_factor_hasSimpleRoots	3	2	lean_declaration	manual_semantic_rename	GarloffWagner,IteratedDerivativeShift.lean
derivative_prec_TDeriv_of_nonpos_of_pow_X_sub_C_factor_no_common	derivative_strictInterl_TDeriv_of_nonpos_of_pow_X_sub_C_factor_no_common	2	1	lean_declaration	manual_semantic_rename	IteratedDerivativeShift.lean
derivative_prec_TDeriv_of_nonpos_of_rootMultiplicity_factor_hasSimpleRoots	derivative_strictInterl_TDeriv_of_nonpos_of_rootMultiplicity_factor_hasSimpleRoots	3	2	lean_declaration	manual_semantic_rename	GarloffWagner,IteratedDerivativeShift.lean
derivative_prec_TDeriv_of_nonpos_of_rootMultiplicity_factor_hasSimpleRootsExcept	derivative_strictInterl_TDeriv_of_nonpos_of_rootMultiplicity_factor_hasSimpleRootsExcept	3	2	lean_declaration	manual_semantic_rename	GarloffWagner,IteratedDerivativeShift.lean
derivative_prec_TDeriv_of_splits	derivative_strictInterl_TDeriv_of_splits	2	1	lean_declaration	manual_semantic_rename	GarloffWagner
derivative_roots_sum_le_of_prec_sameDegree_monic	derivative_roots_sum_le_of_strictInterl_sameDegree_monic	2	1	lean_declaration	manual_semantic_rename	ObreschkoffConverse
derivative_sequence_prec	derivative_sequence_strictInterl	2	1	tactic_declaration	manual_alias_then_migrate	Tactic
derivativePreservesPrec0	derivativePreservesInterl	10	3	lean_declaration	manual_semantic_rename	EulerOperator,EulerOperator.lean,ObreschkoffConverse
derivativePreservesPrec0_of_sameDegree	derivativePreservesInterl_of_sameDegree	2	1	lean_declaration	manual_semantic_rename	ObreschkoffConverse
derivativePreservesPrec0Statement	derivativePreservesInterlStatement	5	3	statement_scaffold	manual_semantic_rename	Derivative,EulerOperator.lean,ObreschkoffConverse
derivativePreservesPrecSameDegree	derivativePreservesStrictInterlSameDegree	7	1	lean_declaration	manual_semantic_rename	ObreschkoffConverse
derivativePreservesPrecSameDegree_monicPrec_of_monic	derivativePreservesStrictInterlSameDegree_monicStrictInterl_of_monic	1	1	lean_declaration	manual_semantic_rename	ObreschkoffConverse
derivativePreservesPrecSameDegree_of_monic	derivativePreservesStrictInterlSameDegree_of_monic	2	1	lean_declaration	manual_semantic_rename	ObreschkoffConverse
derivativePreservesPrecSameDegree_of_monicPrec	derivativePreservesStrictInterlSameDegree_of_monicStrictInterl	1	1	lean_declaration	manual_semantic_rename	ObreschkoffConverse
derivativePreservesPrecSameDegree_of_posLeading	derivativePreservesStrictInterlSameDegree_of_posLeading	2	1	lean_declaration	manual_semantic_rename	ObreschkoffConverse
derivativePreservesPrecSameDegree_of_two_le_natDegree	derivativePreservesStrictInterlSameDegree_of_two_le_natDegree	2	1	lean_declaration	manual_semantic_rename	ObreschkoffConverse
derivativePreservesPrecSameDegreeOfTwoLeNatDegreeMonic	derivativePreservesStrictInterlSameDegreeOfTwoLeNatDegreeMonic	2	1	lean_declaration	manual_semantic_rename	ObreschkoffConverse
derivativePreservesPrecSameDegreeOfTwoLeNatDegreeMonicPrecStatement	derivativePreservesStrictInterlSameDegreeOfTwoLeNatDegreeMonicStrictInterlStatement	3	1	statement_scaffold	manual_semantic_rename	ObreschkoffConverse
derivativePreservesPrecSameDegreeOfTwoLeNatDegreeMonicStatement	derivativePreservesStrictInterlSameDegreeOfTwoLeNatDegreeMonicStatement	5	1	statement_scaffold	manual_semantic_rename	ObreschkoffConverse
derivativePreservesPrecSameDegreeOfTwoLeNatDegreePosLeadingStatement	derivativePreservesStrictInterlSameDegreeOfTwoLeNatDegreePosLeadingStatement	3	1	statement_scaffold	manual_semantic_rename	ObreschkoffConverse
derivativePreservesPrecSameDegreeOfTwoLeNatDegreeStatement	derivativePreservesStrictInterlSameDegreeOfTwoLeNatDegreeStatement	3	1	statement_scaffold	manual_semantic_rename	ObreschkoffConverse
derivativePreservesPrecSameDegreeStatement	derivativePreservesStrictInterlSameDegreeStatement	4	1	statement_scaffold	manual_semantic_rename	ObreschkoffConverse
diagonal_admissibleCodePolynomial_prec	diagonal_admissibleCodePolynomial_strictInterl	1	1	lean_declaration	manual_semantic_rename	Applications
diagonal_normalizedFiberPolynomial_prec	diagonal_normalizedFiberPolynomial_strictInterl	1	1	lean_declaration	manual_semantic_rename	Applications
divX_prec	divX_strictInterl	12	3	tactic_reference	migrate_with_tactic_owner	Tactic
divX_realRooted_of_prec_coeff_zero	divX_realRooted_of_strictInterl_coeff_zero	2	1	lean_declaration	manual_semantic_rename	DegreeDropDivXPrec.lean
divX_roots_nonpos_of_prec_hasNonnegCoeffs	divX_roots_nonpos_of_strictInterl_hasNonnegCoeffs	2	1	lean_declaration	manual_semantic_rename	DegreeDropDivXPrec.lean
eq_of_prec_sameDegree_of_leadingCoeff_eq_of_roots_sum_eq	eq_of_strictInterl_sameDegree_of_leadingCoeff_eq_of_roots_sum_eq	2	1	lean_declaration	manual_semantic_rename	Interlacing
eqOn_zero_of_preconnected_of_frequently_eq_zero	eqOn_zero_of_preconnected_of_frequently_eq_zero	1	1	lexical_false_positive	keep_unchanged	MultiplierSequence
eulerBidiagonalStep_prec	eulerBidiagonalStep_strictInterl	1	1	lean_declaration	manual_semantic_rename	BorceaBranden
eulerBidiagonalStepWithConstant_prec	eulerBidiagonalStepWithConstant_strictInterl	2	2	lean_declaration	manual_semantic_rename	BorceaBranden,EulerianCompletion.lean
eulerInsertionStep_derivative_prec_zeroStep	eulerInsertionStep_derivative_strictInterl_zeroStep	3	1	lean_declaration	manual_semantic_rename	EulerianCompletion.lean
eulerInsertionStep_one_prec	eulerInsertionStep_one_strictInterl	3	1	lean_declaration	manual_semantic_rename	EulerianCompletion.lean
eval_add_mul_eval_left_nonneg_of_prec_right	eval_add_mul_eval_left_nonneg_of_strictInterl_right	1	1	lean_declaration	manual_semantic_rename	WagnerRightSum
eval_add_mul_eval_right_nonneg_of_prec_right	eval_add_mul_eval_right_nonneg_of_strictInterl_right	1	1	lean_declaration	manual_semantic_rename	WagnerRightSum
eval_cross_le_of_prec_sameDegree_of_nonneg	eval_cross_le_of_strictInterl_sameDegree_of_nonneg	3	2	lean_declaration	manual_semantic_rename	BrandenVecchi,ProductOrientation.lean
eval_mul_derivative_neg_of_prec_left_root_of_isCoprime	eval_mul_derivative_neg_of_strictInterl_left_root_of_isCoprime	3	1	lean_declaration	manual_semantic_rename	Interlacing
eval_mul_derivative_neg_of_prec_left_root_of_no_common	eval_mul_derivative_neg_of_strictInterl_left_root_of_no_common	1	1	lean_declaration	manual_semantic_rename	Interlacing
eval_mul_derivative_nonneg_of_prec_right_root	eval_mul_derivative_nonneg_of_strictInterl_right_root	7	3	lean_declaration	manual_semantic_rename	Interlacing
eval_mul_derivative_nonpos_of_prec_left_root	eval_mul_derivative_nonpos_of_strictInterl_left_root	4	1	lean_declaration	manual_semantic_rename	Interlacing
eval_mul_derivative_pos_of_prec_right_root_of_isCoprime	eval_mul_derivative_pos_of_strictInterl_right_root_of_isCoprime	4	1	lean_declaration	manual_semantic_rename	Interlacing
eval_mul_derivative_pos_of_prec_right_root_of_no_common	eval_mul_derivative_pos_of_strictInterl_right_root_of_no_common	1	1	lean_declaration	manual_semantic_rename	Interlacing
eval_mul_eval_neg_of_prec_sandwich_of_isCoprime	eval_mul_eval_neg_of_strictInterl_sandwich_of_isCoprime	2	1	lean_declaration	manual_semantic_rename	Interlacing
eval_mul_eval_neg_of_prec_sandwich_of_no_common	eval_mul_eval_neg_of_strictInterl_sandwich_of_no_common	1	1	lean_declaration	manual_semantic_rename	Interlacing
eval_mul_eval_nonneg_of_prec_right	eval_mul_eval_nonneg_of_strictInterl_right	13	8	lean_declaration	manual_semantic_rename	DerivativeRecurrence,GarloffWagner,GeneralizedLiuWang.lean,Interlacing,UpperDerivativeInterlace.lean,WagnerRightSum
eval_mul_eval_nonpos_of_prec_sandwich	eval_mul_eval_nonpos_of_strictInterl_sandwich	1	1	lean_declaration	manual_semantic_rename	Interlacing
exceptionalBasePolynomial_prec_exceptionalEulerInverse	exceptionalBasePolynomial_strictInterl_exceptionalEulerInverse	2	1	lean_declaration	manual_semantic_rename	ParkingFunctions
exceptionalEulerInverse_prec	exceptionalEulerInverse_strictInterl	1	1	lean_declaration	manual_semantic_rename	ParkingFunctions
exceptionalEulerInverse_upper_prec_lower	exceptionalEulerInverse_upper_strictInterl_lower	3	2	lean_declaration	manual_semantic_rename	ParkingFunctions
exists_precLeft_factor_of_right_isRoot	exists_strictInterlLeft_factor_of_right_isRoot	2	2	lean_declaration	manual_semantic_rename	GarloffWagner
exists_precResidual_factor_of_right_rootMultiplicity	exists_strictInterlResidual_factor_of_right_rootMultiplicity	3	2	lean_declaration	manual_semantic_rename	GarloffWagner
exists_rightmost_factor_interlaces_of_prec_sameDegree	exists_rightmost_factor_interlaces_of_strictInterl_sameDegree	3	3	tactic_declaration	manual_alias_then_migrate	AffineFamily,CommonInterleaver,Tactic
finiteSignedWordEnumerator_prec0_succ	finiteSignedWordEnumerator_interl_succ	1	1	lean_declaration	manual_semantic_rename	BrandenVecchi
finiteSupersymmetricChow_prec0_derangement	finiteSupersymmetricChow_interl_derangement	2	2	lean_declaration	manual_semantic_rename	BrandenVecchi
finiteSupersymmetricChow_prec0_succ	finiteSupersymmetricChow_interl_succ	3	3	lean_declaration	manual_semantic_rename	BrandenVecchi
finiteSupersymmetricChowDerangement_prec0_succ	finiteSupersymmetricChowDerangement_interl_succ	2	2	lean_declaration	manual_semantic_rename	BrandenVecchi
finiteToeplitz_kernelRows_pf_and_prec0	finiteToeplitz_kernelRows_pf_and_interl	3	1	lean_declaration	manual_semantic_rename	BrandenLeite
first_prec	first_strictInterl	7	3	tactic_reference	migrate_with_tactic_owner	Tactic
forall_isRoot_im_neg_of_isPreconnected	forall_isRoot_im_neg_of_isPreconnected	2	2	lexical_false_positive	keep_unchanged	Hyperbolicity.lean,Mathlib
forall_isRoot_mem_of_isPreconnected	forall_isRoot_mem_of_isPreconnected	3	2	lexical_false_positive	keep_unchanged	Hyperbolicity.lean,Mathlib
full_to_prec	full_to_strictInterl	19	3	tactic_reference	migrate_with_tactic_owner	Tactic
full_to_prec0	full_to_interl	18	2	tactic_reference	migrate_with_tactic_owner	Tactic
fullyInterlacingPairInterlace_of_oddEvenStableToPrec	fullyInterlacingPairInterlace_of_oddEvenStableToStrictInterl	1	1	lean_declaration	manual_semantic_rename	VeroneseSection.lean
fullyInterlacingPairToPrec0_of_forwardASW_interlace	fullyInterlacingPairToInterl_of_forwardASW_interlace	1	1	lean_declaration	manual_semantic_rename	VeroneseSection.lean
FullyInterlacingPairToPrec0Statement	FullyInterlacingPairToInterlStatement	28	4	statement_scaffold	manual_semantic_rename	Hadamard,Tactic,VeroneseSection.lean
FullyInterlacingPairToPrecStatement	FullyInterlacingPairToStrictInterlStatement	23	4	statement_scaffold	manual_semantic_rename	Tactic,VeroneseSection.lean
gammaOperator_prec0_or_revPrec0	gammaOperator_interl_or_reverse	1	1	lean_declaration	manual_semantic_rename	GammaPencil
gammaSymbol_even_prec	gammaSymbol_even_strictInterl	2	1	lean_declaration	manual_semantic_rename	GammaPencil
